,MVT_GT_Atlanta GA
2015-01-01 00:00:00,57
2015-02-01 00:00:00,59
2015-03-01 00:00:00,84
2015-04-01 00:00:00,25
2015-05-01 00:00:00,36
2015-06-01 00:00:00,51
2015-07-01 00:00:00,53
2015-08-01 00:00:00,75
2015-09-01 00:00:00,42
2015-10-01 00:00:00,52
2015-11-01 00:00:00,33
2015-12-01 00:00:00,55
2016-01-01 00:00:00,46
2016-02-01 00:00:00,59
2016-03-01 00:00:00,60
2016-04-01 00:00:00,53
2016-05-01 00:00:00,55
2016-06-01 00:00:00,50
2016-07-01 00:00:00,63
2016-08-01 00:00:00,43
2016-09-01 00:00:00,33
2016-10-01 00:00:00,75
2016-11-01 00:00:00,49
2016-12-01 00:00:00,91
2017-01-01 00:00:00,84
2017-02-01 00:00:00,43
2017-03-01 00:00:00,33
2017-04-01 00:00:00,24
2017-05-01 00:00:00,90
2017-06-01 00:00:00,60
2017-07-01 00:00:00,68
2017-08-01 00:00:00,69
2017-09-01 00:00:00,42
2017-10-01 00:00:00,64
2017-11-01 00:00:00,99
2017-12-01 00:00:00,47
2018-01-01 00:00:00,87
2018-02-01 00:00:00,64
2018-03-01 00:00:00,54
2018-04-01 00:00:00,100
2018-05-01 00:00:00,69
2018-06-01 00:00:00,64
2018-07-01 00:00:00,92
2018-08-01 00:00:00,60
2018-09-01 00:00:00,77
2018-10-01 00:00:00,78
2018-11-01 00:00:00,67
2018-12-01 00:00:00,57
2019-01-01 00:00:00,78
2019-02-01 00:00:00,95
2019-03-01 00:00:00,51
2019-04-01 00:00:00,38
2019-05-01 00:00:00,67
2019-06-01 00:00:00,45
2019-07-01 00:00:00,72
2019-08-01 00:00:00,61
2019-09-01 00:00:00,82
2019-10-01 00:00:00,56
2019-11-01 00:00:00,77
2019-12-01 00:00:00,74
2020-01-01 00:00:00,46
2020-02-01 00:00:00,77
2020-03-01 00:00:00,48
2020-04-01 00:00:00,40
2020-05-01 00:00:00,57
2020-06-01 00:00:00,55
2020-07-01 00:00:00,43
2020-08-01 00:00:00,56
2020-09-01 00:00:00,54
2020-10-01 00:00:00,57
2020-11-01 00:00:00,42
2020-12-01 00:00:00,93
2021-01-01 00:00:00,92
2021-02-01 00:00:00,69
2021-03-01 00:00:00,77
2021-04-01 00:00:00,58
2021-05-01 00:00:00,100
2021-06-01 00:00:00,55
2021-07-01 00:00:00,76
2021-08-01 00:00:00,44
2021-09-01 00:00:00,63
2021-10-01 00:00:00,43
2021-11-01 00:00:00,63
2021-12-01 00:00:00,51
2022-01-01 00:00:00,71
2022-02-01 00:00:00,58
2022-03-01 00:00:00,33
2022-04-01 00:00:00,57
2022-05-01 00:00:00,72
2022-06-01 00:00:00,52
2022-07-01 00:00:00,74
2022-08-01 00:00:00,63
2022-09-01 00:00:00,77
2022-10-01 00:00:00,67
2022-11-01 00:00:00,77
2022-12-01 00:00:00,100
